time,low,high,open,close,volume
2020-09-17,363.4,394.55,365.22,389.45,212965.41279613
2020-09-18,375.19,392.69,389.52,384.64,163353.49313499
2020-09-19,377.2,388.43,384.6,385.23,70257.87733175
2020-09-20,364.89,385.31,385.25,370.69,89803.37071302
2020-09-21,331.0,376.76,371.03,340.11,266795.43383713
2020-09-22,335.57,346.84,340.36,344.26,125988.89838001
2020-09-23,313.0,344.64,344.25,320.63,190725.11444266
2020-09-24,316.65,353.14,320.65,349.14,183245.45463309
2020-09-25,337.63,358.12,349.14,352.11,126913.44997664
2020-09-26,346.03,356.5,352.12,354.13,61035.01105045
2020-09-27,347.05,362.86,354.01,357.55,80085.26429182
2020-09-28,351.88,368.52,357.53,353.91,104212.37558644
2020-09-29,350.19,360.59,353.68,359.9,116581.13501754
2020-09-30,351.38,361.51,359.93,359.89,61528.3697469
2020-10-01,345.01,370.25,360.01,352.9,123288.381776
2020-10-02,334.19,354.25,352.84,345.7,152553.41162458
2020-10-03,343.71,351.2,345.74,346.18,39972.14867485
2020-10-04,344.08,354.35,346.18,352.48,57672.70466128
2020-10-05,348.69,356.12,352.42,353.73,53291.56083882
2020-10-06,336.73,355.33,353.82,340.78,101113.66417348
2020-10-07,332.87,342.83,340.8,341.68,95554.36544775
2020-10-08,334.29,353.34,341.7,351.25,88039.97567275
2020-10-09,347.15,368.7,351.17,365.36,116241.01508045
2020-10-10,365.02,380.81,365.35,370.75,117309.72652529
2020-10-11,369.02,377.49,370.73,374.38,55925.96138195
2020-10-12,365.77,395.18,374.37,386.74,111464.29529211
2020-10-13,374.29,387.88,386.77,381.37,84543.6186979
2020-10-14,373.29,387.63,381.37,378.97,80200.71716699
2020-10-15,370.06,381.99,379.01,377.94,68915.97860381
2020-10-16,361.38,380.0,377.89,365.57,106263.28472121
2020-10-17,363.56,370.57,365.57,368.48,41868.07115942
2020-10-18,367.31,378.69,368.48,378.58,42509.2101992
2020-10-19,372.89,384.69,378.56,379.36,69957.45766229
